timestamp,steps,data source
2026-06-04T16:19:00Z,61,Versa 4
2026-06-04T16:20:00Z,50,Versa 4
2026-06-04T16:21:00Z,35,Versa 4
2026-06-04T16:22:00Z,59,Versa 4
2026-06-04T16:23:00Z,68,Versa 4
2026-06-04T16:24:00Z,38,Versa 4
2026-06-04T16:25:00Z,34,Versa 4
2026-06-04T16:26:00Z,56,Versa 4
2026-06-04T16:27:00Z,42,Versa 4
2026-06-04T16:28:00Z,36,Versa 4
2026-06-04T16:29:00Z,40,Versa 4
2026-06-04T16:30:00Z,51,Versa 4
2026-06-04T16:31:00Z,44,Versa 4
2026-06-04T16:32:00Z,57,Versa 4
2026-06-04T16:33:00Z,18,Versa 4
2026-06-04T16:34:00Z,7,Versa 4
2026-06-04T16:35:00Z,89,Versa 4
2026-06-04T16:36:00Z,19,Versa 4
2026-06-04T16:37:00Z,8,Versa 4
2026-06-04T16:59:00Z,47,Versa 4
2026-06-04T17:00:00Z,53,Versa 4
2026-06-04T17:01:00Z,95,Versa 4
2026-06-04T17:02:00Z,46,Versa 4
2026-06-04T17:03:00Z,12,Versa 4
2026-06-04T17:04:00Z,7,Versa 4
2026-06-04T17:05:00Z,28,Versa 4
2026-06-04T17:06:00Z,42,Versa 4
2026-06-04T17:07:00Z,45,Versa 4
2026-06-04T17:08:00Z,66,Versa 4
2026-06-04T17:09:00Z,41,Versa 4
2026-06-04T17:10:00Z,36,Versa 4
2026-06-04T17:11:00Z,53,Versa 4
2026-06-04T17:12:00Z,24,Versa 4
2026-06-04T17:13:00Z,36,Versa 4
2026-06-04T17:14:00Z,23,Versa 4
2026-06-04T17:15:00Z,48,Versa 4
2026-06-04T17:16:00Z,39,Versa 4
2026-06-04T17:17:00Z,31,Versa 4
2026-06-04T17:18:00Z,29,Versa 4
2026-06-04T17:19:00Z,81,Versa 4
2026-06-04T17:20:00Z,9,Versa 4
2026-06-04T17:21:00Z,17,Versa 4
2026-06-04T17:22:00Z,15,Versa 4
2026-06-04T17:23:00Z,15,Versa 4
2026-06-04T17:24:00Z,39,Versa 4
2026-06-04T17:25:00Z,19,Versa 4
2026-06-04T17:26:00Z,12,Versa 4
2026-06-04T17:27:00Z,41,Versa 4
2026-06-04T17:28:00Z,38,Versa 4
2026-06-04T17:29:00Z,46,Versa 4
2026-06-04T17:30:00Z,58,Versa 4
2026-06-04T17:31:00Z,41,Versa 4
2026-06-04T17:32:00Z,15,Versa 4
2026-06-04T17:33:00Z,92,Versa 4
2026-06-04T17:34:00Z,49,Versa 4
2026-06-04T17:35:00Z,76,Versa 4
2026-06-04T17:36:00Z,61,Versa 4
2026-06-04T17:37:00Z,12,Versa 4
2026-06-04T17:38:00Z,50,Versa 4
2026-06-04T17:39:00Z,30,Versa 4
2026-06-04T17:40:00Z,24,Versa 4
2026-06-04T17:41:00Z,40,Versa 4
2026-06-04T17:42:00Z,49,Versa 4
2026-06-04T17:43:00Z,61,Versa 4
2026-06-04T17:44:00Z,77,Versa 4
2026-06-04T17:45:00Z,71,Versa 4
2026-06-04T17:46:00Z,70,Versa 4
2026-06-04T17:47:00Z,59,Versa 4
2026-06-04T17:48:00Z,46,Versa 4
2026-06-04T17:49:00Z,16,Versa 4
2026-06-04T17:50:00Z,52,Versa 4
2026-06-04T17:51:00Z,26,Versa 4
2026-06-04T17:52:00Z,11,Versa 4
2026-06-04T17:53:00Z,44,Versa 4
2026-06-04T17:54:00Z,43,Versa 4
2026-06-04T17:55:00Z,13,Versa 4
2026-06-04T17:57:00Z,29,Versa 4
2026-06-04T17:58:00Z,51,Versa 4
2026-06-04T17:59:00Z,69,Versa 4
2026-06-04T18:00:00Z,37,Versa 4
2026-06-04T18:01:00Z,80,Versa 4
