timestamp,level,data source
2026-06-03T03:11:00Z,SEDENTARY,Fitbit App
2026-06-03T03:16:00Z,SEDENTARY,Fitbit App
2026-06-03T03:30:00Z,SEDENTARY,Fitbit App
2026-06-03T03:39:00Z,SEDENTARY,Fitbit App
2026-06-03T03:43:00Z,SEDENTARY,Fitbit App
2026-06-03T03:45:00Z,SEDENTARY,Fitbit App
2026-06-03T03:59:00Z,SEDENTARY,Fitbit App
2026-06-03T04:13:00Z,SEDENTARY,Fitbit App
2026-06-03T04:20:00Z,SEDENTARY,Fitbit App
2026-06-03T04:30:00Z,SEDENTARY,Fitbit App
2026-06-03T04:31:00Z,SEDENTARY,Fitbit App
2026-06-03T04:35:00Z,SEDENTARY,Fitbit App
2026-06-03T04:40:00Z,SEDENTARY,Fitbit App
2026-06-03T04:41:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T04:42:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T04:43:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T04:54:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T04:55:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T04:56:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T04:57:00Z,MODERATELY_ACTIVE,Fitbit App
2026-06-03T04:58:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T05:00:00Z,LIGHTLY_ACTIVE,Fitbit App
2026-06-03T05:01:00Z,SEDENTARY,Fitbit App
2026-06-03T05:02:00Z,SEDENTARY,Fitbit App
